name,rank,model,chain_i,chain_j,iLIS,iLIA,iLISA,ipSAE,actifpTM,LIS,cLIS,LIA,cLIA,ipTM,pLDDT_i,pLDDT_j,pLDDT,pTM,LIR_i,LIR_j,cLIR_i,cLIR_j,LIpLDDT_i,LIpLDDT_j,LIpLDDT,cLIpLDDT_i,cLIpLDDT_j,cLIpLDDT,len_i,len_j,LIR_indices_i,LIR_indices_j,cLIR_indices_i,cLIR_indices_j,structure_file
HSF1_HUMAN___HDAC2_HUMAN,1,4,A,B,0.0852,165.6,14.1,0.0161,0.4805,0.0878,0.0827,2494.0,11.0,0.3600,31.8,76.4,53.2,0.460,19,344,6,6,38.6,95.1,92.1,44.6,93.2,68.9,529,488,"[295-301,384-395]","[11-26,28-86,88-89,91-97,100-168,170-202,204-212,214,216-217,220-338,340-346,353-372]","[297-300,388,392]","[34,53-56,306]",HSF1_HUMAN___HDAC2_HUMAN_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.pdb
HSF1_HUMAN___HDAC2_HUMAN,2,5,A,B,0.0170,13.5,0.2,0.0117,0.3684,0.0266,0.0108,182.0,1.0,0.3200,33.8,77.6,54.8,0.450,3,138,1,1,39.3,97.3,96.1,41.8,94.4,68.1,529,488,[297-299],"[12,18-19,25,29-32,36-37,39,48,52,56-57,59-62,65-67,74,76,80,82,92,95,97,101,103-104,106-107,109,112-115,117-119,123-124,128,132,139-140,143,148-152,155-156,158,160-161,163,171,177,181,183-187,194-199,224,228,231,233,235,237-238,241-242,245-246,248-250,255,258,261-265,267,272,275,277,279,281,283-289,291-292,294,296-299,301,303-306,308-309,312,317,319-321,324-325,327-329,338,355,359,363-364,366]",[298],[56],HSF1_HUMAN___HDAC2_HUMAN_unrelaxed_rank_002_alphafold2_multimer_v3_model_5_seed_000.pdb
HSF1_HUMAN___HDAC2_HUMAN,3,1,A,B,0.0000,0.0,0.0,0.0000,0.3062,0.0000,0.0000,0.0,0.0,0.2800,33.1,76.6,54.0,0.460,0,0,0,0,,,,,,,529,488,,,,,HSF1_HUMAN___HDAC2_HUMAN_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000.pdb
HSF1_HUMAN___HDAC2_HUMAN,4,3,A,B,0.0000,0.0,0.0,0.0000,0.3187,0.0046,0.0000,4.0,0.0,0.2800,32.5,76.9,53.8,0.460,1,4,0,0,38.4,96.3,84.7,,,,529,488,[298],"[12,39,57,289]",,,HSF1_HUMAN___HDAC2_HUMAN_unrelaxed_rank_004_alphafold2_multimer_v3_model_3_seed_000.pdb
HSF1_HUMAN___HDAC2_HUMAN,5,2,A,B,0.0000,0.0,0.0,0.0000,0.1882,0.0000,0.0000,0.0,0.0,0.1800,32.9,77.7,54.4,0.450,0,0,0,0,,,,,,,529,488,,,,,HSF1_HUMAN___HDAC2_HUMAN_unrelaxed_rank_005_alphafold2_multimer_v3_model_2_seed_000.pdb
HSF1_HUMAN___MATR3_HUMAN,1,3,A,B,0.3400,404.6,137.5,0.0761,0.8508,0.2541,0.4547,2154.0,76.0,0.2100,34.5,42.3,39.3,0.230,39,48,13,17,61.8,64.2,63.1,66.3,65.6,65.9,529,847,[161-199],[105-152],"[178,181-182,184-186,188-193,195]","[108,111-112,114-115,117,122-123,125-126,128,130,133-135,138-139]",HSF1_HUMAN___MATR3_HUMAN_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_000.pdb
HSF1_HUMAN___MATR3_HUMAN,2,2,A,B,0.3734,397.9,148.6,0.0921,0.8904,0.2879,0.4843,2328.0,68.0,0.2100,37.4,45.4,42.3,0.220,42,47,13,16,67.4,62.8,65.0,68.6,63.7,65.9,529,847,[158-199],[106-152],"[178,181-182,184-186,188-193,195]","[108,111-112,115,117,122-123,125-126,128,130,133-135,138-139]",HSF1_HUMAN___MATR3_HUMAN_unrelaxed_rank_002_alphafold2_multimer_v3_model_2_seed_000.pdb
HSF1_HUMAN___MATR3_HUMAN,3,5,A,B,0.2521,346.0,87.2,0.0357,0.7578,0.1908,0.3331,1710.0,70.0,0.2100,36.1,43.4,40.6,0.220,35,44,14,17,63.1,65.1,64.2,65.9,64.9,65.4,529,847,"[164,166-199]",[107-150],"[178,181-186,188-193,195]","[108,111-112,115,117,122-123,125-126,128,130,133-136,138-139]",HSF1_HUMAN___MATR3_HUMAN_unrelaxed_rank_003_alphafold2_multimer_v3_model_5_seed_000.pdb
HSF1_HUMAN___MATR3_HUMAN,4,4,A,B,0.3610,380.7,137.4,0.0754,0.8834,0.2770,0.4705,1858.0,78.0,0.2000,35.3,41.9,39.4,0.220,33,48,14,17,64.0,63.7,63.8,66.7,65.2,65.9,529,847,[167-199],[105-152],"[178,181-182,184-186,188-193,195-196]","[108,111-112,114-115,117,122-123,125-126,128,130,133-135,138-139]",HSF1_HUMAN___MATR3_HUMAN_unrelaxed_rank_004_alphafold2_multimer_v3_model_4_seed_000.pdb
HSF1_HUMAN___MATR3_HUMAN,5,1,A,B,0.1083,156.1,16.9,0.0142,0.6689,0.0980,0.1197,435.0,56.0,0.1800,32.6,40.3,37.3,0.220,16,39,11,15,47.9,52.9,51.4,49.3,52.3,51.0,529,847,"[180-194,196]",[110-148],"[181-182,184-186,188-193]","[111-112,115,117,122-123,125-126,128,130,133-135,138-139]",HSF1_HUMAN___MATR3_HUMAN_unrelaxed_rank_005_alphafold2_multimer_v3_model_1_seed_000.pdb
HSF1_HUMAN___MCMBP_HUMAN,1,3,A,B,0.3194,742.0,237.0,0.3279,0.8921,0.2471,0.4129,6186.0,89.0,0.6100,32.3,81.0,59.0,0.570,16,513,11,22,55.3,91.0,89.9,55.7,83.2,74.0,529,642,"[68-69,259-272]","[5-153,224-274,286-328,330,332-333,335-396,402-463,467-526,531-566,572-576,590-631]","[259-266,268-269,271]","[79-83,85,100,103-110,114,116,123,265-268]",HSF1_HUMAN___MCMBP_HUMAN_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_000.pdb
HSF1_HUMAN___MCMBP_HUMAN,2,2,A,B,0.0000,0.0,0.0,0.0000,0.4258,0.0115,0.0000,32.0,0.0,0.2600,30.1,81.3,58.2,0.560,4,24,0,0,47.1,96.8,89.7,,,,529,642,[330-333],"[66,348,352,355,359,362,368,371,419,447,455,522,548,572,596,600-601,603,616-619,623,626]",,,HSF1_HUMAN___MCMBP_HUMAN_unrelaxed_rank_002_alphafold2_multimer_v3_model_2_seed_000.pdb
HSF1_HUMAN___MCMBP_HUMAN,3,5,A,B,0.0000,0.0,0.0,0.0000,0.3504,0.0000,0.0000,0.0,0.0,0.2500,32.7,81.1,59.2,0.550,0,0,0,0,,,,,,,529,642,,,,,HSF1_HUMAN___MCMBP_HUMAN_unrelaxed_rank_003_alphafold2_multimer_v3_model_5_seed_000.pdb
HSF1_HUMAN___MCMBP_HUMAN,4,1,A,B,0.0000,0.0,0.0,0.0000,0.3524,0.0183,0.0000,11.0,0.0,0.2300,32.1,80.4,58.6,0.560,1,11,0,0,43.1,92.1,88.0,,,,529,642,[192],"[569,573,593,596-597,600,603-604,616,620,624]",,,HSF1_HUMAN___MCMBP_HUMAN_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_000.pdb
HSF1_HUMAN___MCMBP_HUMAN,5,4,A,B,0.0000,0.0,0.0,0.0000,0.3450,0.0000,0.0000,0.0,0.0,0.1900,28.9,80.3,57.1,0.550,0,0,0,0,,,,,,,529,642,,,,,HSF1_HUMAN___MCMBP_HUMAN_unrelaxed_rank_005_alphafold2_multimer_v3_model_4_seed_000.pdb
HSF1_HUMAN___SRSF3_HUMAN,1,4,A,B,0.1000,360.8,36.1,0.0142,0.4880,0.0696,0.1436,3100.0,42.0,0.3500,41.0,50.8,43.3,0.290,86,70,8,10,87.8,82.4,85.4,80.6,77.3,78.8,529,164,"[16-61,65-81,96-118]","[9-43,46-67,69-72,74-82]","[67,70-71,74-75,79-80,97]","[31-35,54-55,57-58,61]",HSF1_HUMAN___SRSF3_HUMAN_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.pdb
HSF1_HUMAN___SRSF3_HUMAN,2,1,A,B,0.0000,0.0,0.0,0.0000,0.2437,0.0000,0.0000,0.0,0.0,0.2200,41.2,49.0,43.0,0.260,0,0,0,0,,,,,,,529,164,,,,,HSF1_HUMAN___SRSF3_HUMAN_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_000.pdb
HSF1_HUMAN___SRSF3_HUMAN,3,3,A,B,0.0000,0.0,0.0,0.0000,0.2044,0.0000,0.0000,0.0,0.0,0.1900,41.4,50.5,43.6,0.260,0,0,0,0,,,,,,,529,164,,,,,HSF1_HUMAN___SRSF3_HUMAN_unrelaxed_rank_003_alphafold2_multimer_v3_model_3_seed_000.pdb
HSF1_HUMAN___SRSF3_HUMAN,4,2,A,B,0.0000,0.0,0.0,0.0000,0.1558,0.0000,0.0000,0.0,0.0,0.1700,41.7,51.0,43.9,0.250,0,0,0,0,,,,,,,529,164,,,,,HSF1_HUMAN___SRSF3_HUMAN_unrelaxed_rank_004_alphafold2_multimer_v3_model_2_seed_000.pdb
HSF1_HUMAN___SRSF3_HUMAN,5,5,A,B,0.0000,0.0,0.0,0.0000,0.1096,0.0000,0.0000,0.0,0.0,0.1200,41.7,52.1,44.2,0.240,0,0,0,0,,,,,,,529,164,,,,,HSF1_HUMAN___SRSF3_HUMAN_unrelaxed_rank_005_alphafold2_multimer_v3_model_5_seed_000.pdb
HSF1_HUMAN___THOC4_HUMAN,1,4,A,B,0.2023,422.7,85.5,0.0850,0.6834,0.1298,0.3151,8121.0,22.0,0.3000,38.9,37.8,38.5,0.290,94,82,6,6,77.6,70.1,74.1,63.3,57.8,60.5,529,257,"[14-81,94-119]",[103-184],"[62-63,65,68,71,75]","[120-121,124,127-128,172]",HSF1_HUMAN___THOC4_HUMAN_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.pdb
HSF1_HUMAN___THOC4_HUMAN,2,1,A,B,0.0000,0.0,0.0,0.0000,0.3203,0.0000,0.0000,0.0,0.0,0.2000,40.3,37.6,39.4,0.260,0,0,0,0,,,,,,,529,257,,,,,HSF1_HUMAN___THOC4_HUMAN_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_000.pdb
HSF1_HUMAN___THOC4_HUMAN,3,5,A,B,0.0000,0.0,0.0,0.0000,0.3116,0.0000,0.0000,0.0,0.0,0.1900,40.6,40.7,40.6,0.250,0,0,0,0,,,,,,,529,257,,,,,HSF1_HUMAN___THOC4_HUMAN_unrelaxed_rank_003_alphafold2_multimer_v3_model_5_seed_000.pdb
HSF1_HUMAN___THOC4_HUMAN,4,3,A,B,0.0000,0.0,0.0,0.0000,0.2537,0.0000,0.0000,0.0,0.0,0.1600,39.5,39.2,39.4,0.240,0,0,0,0,,,,,,,529,257,,,,,HSF1_HUMAN___THOC4_HUMAN_unrelaxed_rank_004_alphafold2_multimer_v3_model_3_seed_000.pdb
HSF1_HUMAN___THOC4_HUMAN,5,2,A,B,0.0000,0.0,0.0,0.0000,0.1564,0.0000,0.0000,0.0,0.0,0.1400,41.4,41.3,41.4,0.240,0,0,0,0,,,,,,,529,257,,,,,HSF1_HUMAN___THOC4_HUMAN_unrelaxed_rank_005_alphafold2_multimer_v3_model_2_seed_000.pdb
HSF1_HUMAN___FUBP1_HUMAN,1,5,A,B,0.0000,0.0,0.0,0.0000,0.2933,0.0000,0.0000,0.0,0.0,0.1900,36.8,46.9,42.3,0.240,0,0,0,0,,,,,,,529,644,,,,,HSF1_HUMAN___FUBP1_HUMAN_unrelaxed_rank_001_alphafold2_multimer_v3_model_5_seed_000.pdb
HSF1_HUMAN___FUBP1_HUMAN,2,1,A,B,0.0000,0.0,0.0,0.0000,0.1758,0.0000,0.0000,0.0,0.0,0.1700,34.8,43.7,39.7,0.230,0,0,0,0,,,,,,,529,644,,,,,HSF1_HUMAN___FUBP1_HUMAN_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_000.pdb
HSF1_HUMAN___FUBP1_HUMAN,3,2,A,B,0.0000,0.0,0.0,0.0000,0.1619,0.0000,0.0000,0.0,0.0,0.1600,37.4,46.9,42.6,0.230,0,0,0,0,,,,,,,529,644,,,,,HSF1_HUMAN___FUBP1_HUMAN_unrelaxed_rank_003_alphafold2_multimer_v3_model_2_seed_000.pdb
HSF1_HUMAN___FUBP1_HUMAN,4,3,A,B,0.0000,0.0,0.0,0.0000,0.1636,0.0000,0.0000,0.0,0.0,0.1500,35.4,43.4,39.8,0.220,0,0,0,0,,,,,,,529,644,,,,,HSF1_HUMAN___FUBP1_HUMAN_unrelaxed_rank_004_alphafold2_multimer_v3_model_3_seed_000.pdb
HSF1_HUMAN___FUBP1_HUMAN,5,4,A,B,0.0000,0.0,0.0,0.0000,0.1955,0.0000,0.0000,0.0,0.0,0.1500,34.7,43.6,39.6,0.220,0,0,0,0,,,,,,,529,644,,,,,HSF1_HUMAN___FUBP1_HUMAN_unrelaxed_rank_005_alphafold2_multimer_v3_model_4_seed_000.pdb
HSF1_HUMAN___HNRL1_HUMAN,1,1,A,B,0.1318,667.9,88.0,0.0158,0.7027,0.1149,0.1512,4647.0,96.0,0.3200,32.5,53.9,45.7,0.410,18,365,16,30,50.3,92.7,90.7,51.1,84.6,72.9,529,856,[384-401],"[207,209-274,276-336,339-363,365-387,389-390,394,396-463,476-547,553-570,573-600]","[384-397,399-400]","[429-431,434-435,454-456,459,481-482,484-485,488-489,506-513,516,554,557-558,560-561,564]",HSF1_HUMAN___HNRL1_HUMAN_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb
HSF1_HUMAN___HNRL1_HUMAN,2,3,A,B,0.0633,322.8,20.4,0.0136,0.6601,0.0556,0.0720,3158.0,33.0,0.2400,33.5,53.9,46.1,0.410,15,355,10,18,41.2,93.8,91.7,42.8,87.2,71.3,529,856,[385-399],"[209-236,238-274,276,278-336,340-363,366-390,394,396-462,478-544,546,554-570,573-600]",[388-397],"[430,454-455,484-485,488-489,506-510,512-513,516-517,557,561]",HSF1_HUMAN___HNRL1_HUMAN_unrelaxed_rank_002_alphafold2_multimer_v3_model_3_seed_000.pdb
HSF1_HUMAN___HNRL1_HUMAN,3,2,A,B,0.0703,426.1,29.9,0.0133,0.6680,0.0616,0.0802,3705.0,49.0,0.2400,33.7,55.3,47.0,0.410,16,365,12,24,36.7,94.8,92.4,37.9,88.5,71.6,529,856,[375-390],"[209-274,276-336,340-363,365-387,389-391,394,396-464,477-548,553-570,573-600]","[377-387,390]","[430,455,478,480-482,484-485,488-489,506-510,512-513,516-517,553,557,560-561,564]",HSF1_HUMAN___HNRL1_HUMAN_unrelaxed_rank_003_alphafold2_multimer_v3_model_2_seed_000.pdb
HSF1_HUMAN___HNRL1_HUMAN,4,5,A,B,0.0201,23.0,0.5,0.0109,0.5115,0.0179,0.0225,106.0,5.0,0.2100,32.8,54.8,46.4,0.400,6,65,4,4,39.9,95.8,91.1,41.0,89.5,65.2,529,856,"[385,387-390,392]","[211,252,257,259,328,333-335,341-342,354,357,397-400,402-403,405,407-409,421-422,424,429,435,437-439,452,455,484,487,490-491,503,508-509,513-516,521,527-530,557,560,562,564-565,569,575,577,579,585-591,595]","[388-390,392]","[455,508,513,560]",HSF1_HUMAN___HNRL1_HUMAN_unrelaxed_rank_004_alphafold2_multimer_v3_model_5_seed_000.pdb
HSF1_HUMAN___HNRL1_HUMAN,5,4,A,B,0.0000,0.0,0.0,0.0000,0.4678,0.0075,0.0000,7.0,0.0,0.1800,29.2,54.0,44.5,0.400,2,5,0,0,35.0,97.8,79.9,,,,529,856,"[392,394]","[257,328,345,380,382]",,,HSF1_HUMAN___HNRL1_HUMAN_unrelaxed_rank_005_alphafold2_multimer_v3_model_4_seed_000.pdb
HSF1_HUMAN___PEBP1_HUMAN,1,3,A,B,0.2430,397.8,96.7,0.0245,0.7524,0.1888,0.3127,2229.0,71.0,0.4700,39.5,94.7,53.9,0.360,17,184,7,20,59.4,95.1,92.1,52.1,89.0,79.4,529,187,[82-98],[4-187],"[84-85,87-91]","[70,73-74,80-81,84,107,110,112-113,142-144,146-147,178,180-181,184-185]",HSF1_HUMAN___PEBP1_HUMAN_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_000.pdb
HSF1_HUMAN___PEBP1_HUMAN,2,4,A,B,0.0000,0.0,0.0,0.0000,0.3273,0.0000,0.0000,0.0,0.0,0.2400,36.0,94.4,51.3,0.340,0,0,0,0,,,,,,,529,187,,,,,HSF1_HUMAN___PEBP1_HUMAN_unrelaxed_rank_002_alphafold2_multimer_v3_model_4_seed_000.pdb
HSF1_HUMAN___PEBP1_HUMAN,3,1,A,B,0.0000,0.0,0.0,0.0000,0.1231,0.0000,0.0000,0.0,0.0,0.1900,39.2,93.5,53.4,0.340,0,0,0,0,,,,,,,529,187,,,,,HSF1_HUMAN___PEBP1_HUMAN_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000.pdb
HSF1_HUMAN___PEBP1_HUMAN,4,5,A,B,0.0000,0.0,0.0,0.0000,0.1223,0.0000,0.0000,0.0,0.0,0.1400,38.7,94.3,53.2,0.330,0,0,0,0,,,,,,,529,187,,,,,HSF1_HUMAN___PEBP1_HUMAN_unrelaxed_rank_004_alphafold2_multimer_v3_model_5_seed_000.pdb
HSF1_HUMAN___PEBP1_HUMAN,5,2,A,B,0.0000,0.0,0.0,0.0000,0.0941,0.0000,0.0000,0.0,0.0,0.1200,38.9,95.4,53.7,0.330,0,0,0,0,,,,,,,529,187,,,,,HSF1_HUMAN___PEBP1_HUMAN_unrelaxed_rank_005_alphafold2_multimer_v3_model_2_seed_000.pdb
HSF1_HUMAN___ROA1_HUMAN,1,4,A,B,0.0000,0.0,0.0,0.0000,0.2051,0.0000,0.0000,0.0,0.0,0.1700,36.0,52.8,42.9,0.310,0,0,0,0,,,,,,,529,372,,,,,HSF1_HUMAN___ROA1_HUMAN_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.pdb
HSF1_HUMAN___ROA1_HUMAN,2,3,A,B,0.0000,0.0,0.0,0.0000,0.2148,0.0000,0.0000,0.0,0.0,0.1600,36.7,52.4,43.2,0.320,0,0,0,0,,,,,,,529,372,,,,,HSF1_HUMAN___ROA1_HUMAN_unrelaxed_rank_002_alphafold2_multimer_v3_model_3_seed_000.pdb
HSF1_HUMAN___ROA1_HUMAN,3,1,A,B,0.0000,0.0,0.0,0.0000,0.1923,0.0000,0.0000,0.0,0.0,0.1600,37.9,53.4,44.3,0.300,0,0,0,0,,,,,,,529,372,,,,,HSF1_HUMAN___ROA1_HUMAN_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000.pdb
HSF1_HUMAN___ROA1_HUMAN,4,5,A,B,0.0000,0.0,0.0,0.0000,0.1280,0.0000,0.0000,0.0,0.0,0.1400,38.1,54.0,44.7,0.290,0,0,0,0,,,,,,,529,372,,,,,HSF1_HUMAN___ROA1_HUMAN_unrelaxed_rank_004_alphafold2_multimer_v3_model_5_seed_000.pdb
HSF1_HUMAN___ROA1_HUMAN,5,2,A,B,0.0000,0.0,0.0,0.0000,0.1143,0.0000,0.0000,0.0,0.0,0.1400,38.8,54.5,45.3,0.290,0,0,0,0,,,,,,,529,372,,,,,HSF1_HUMAN___ROA1_HUMAN_unrelaxed_rank_005_alphafold2_multimer_v3_model_2_seed_000.pdb
HSF1_HUMAN___SMC1A_HUMAN,1,3,A,B,0.0000,0.0,0.0,0.0000,0.4490,0.0000,0.0000,0.0,0.0,0.2300,32.7,80.0,65.8,0.340,0,0,0,0,,,,,,,529,1233,,,,,HSF1_HUMAN___SMC1A_HUMAN_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_000.pdb
HSF1_HUMAN___SMC1A_HUMAN,2,4,A,B,0.0000,0.0,0.0,0.0000,0.2858,0.0000,0.0000,0.0,0.0,0.2000,30.2,78.0,63.6,0.340,0,0,0,0,,,,,,,529,1233,,,,,HSF1_HUMAN___SMC1A_HUMAN_unrelaxed_rank_002_alphafold2_multimer_v3_model_4_seed_000.pdb
HSF1_HUMAN___SMC1A_HUMAN,3,2,A,B,0.0000,0.0,0.0,0.0000,0.2042,0.0000,0.0000,0.0,0.0,0.1900,31.1,75.2,62.0,0.340,0,0,0,0,,,,,,,529,1233,,,,,HSF1_HUMAN___SMC1A_HUMAN_unrelaxed_rank_003_alphafold2_multimer_v3_model_2_seed_000.pdb
HSF1_HUMAN___SMC1A_HUMAN,4,1,A,B,0.0000,0.0,0.0,0.0000,0.1794,0.0000,0.0000,0.0,0.0,0.1800,32.2,77.3,63.8,0.350,0,0,0,0,,,,,,,529,1233,,,,,HSF1_HUMAN___SMC1A_HUMAN_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_000.pdb
HSF1_HUMAN___SMC1A_HUMAN,5,5,A,B,0.0000,0.0,0.0,0.0000,0.1710,0.0000,0.0000,0.0,0.0,0.1800,31.0,79.5,64.9,0.330,0,0,0,0,,,,,,,529,1233,,,,,HSF1_HUMAN___SMC1A_HUMAN_unrelaxed_rank_005_alphafold2_multimer_v3_model_5_seed_000.pdb
HSF1_HUMAN___SRS10_HUMAN,1,4,A,B,0.0000,0.0,0.0,0.0000,0.1657,0.0000,0.0000,0.0,0.0,0.1500,39.6,39.6,39.6,0.230,0,0,0,0,,,,,,,529,262,,,,,HSF1_HUMAN___SRS10_HUMAN_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.pdb
HSF1_HUMAN___SRS10_HUMAN,2,1,A,B,0.0000,0.0,0.0,0.0000,0.1682,0.0000,0.0000,0.0,0.0,0.1500,40.3,38.6,39.7,0.240,0,0,0,0,,,,,,,529,262,,,,,HSF1_HUMAN___SRS10_HUMAN_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_000.pdb
HSF1_HUMAN___SRS10_HUMAN,3,3,A,B,0.0000,0.0,0.0,0.0000,0.1586,0.0000,0.0000,0.0,0.0,0.1400,39.7,40.8,40.1,0.240,0,0,0,0,,,,,,,529,262,,,,,HSF1_HUMAN___SRS10_HUMAN_unrelaxed_rank_003_alphafold2_multimer_v3_model_3_seed_000.pdb
HSF1_HUMAN___SRS10_HUMAN,4,5,A,B,0.0000,0.0,0.0,0.0000,0.1171,0.0000,0.0000,0.0,0.0,0.1200,40.7,42.0,41.1,0.230,0,0,0,0,,,,,,,529,262,,,,,HSF1_HUMAN___SRS10_HUMAN_unrelaxed_rank_004_alphafold2_multimer_v3_model_5_seed_000.pdb
HSF1_HUMAN___SRS10_HUMAN,5,2,A,B,0.0000,0.0,0.0,0.0000,0.0960,0.0000,0.0000,0.0,0.0,0.1200,41.5,42.3,41.8,0.230,0,0,0,0,,,,,,,529,262,,,,,HSF1_HUMAN___SRS10_HUMAN_unrelaxed_rank_005_alphafold2_multimer_v3_model_2_seed_000.pdb
HSF1_HUMAN___UGDH_HUMAN,1,1,A,B,0.0000,0.0,0.0,0.0000,0.2501,0.0000,0.0000,0.0,0.0,0.1900,33.8,90.5,61.2,0.520,0,0,0,0,,,,,,,529,494,,,,,HSF1_HUMAN___UGDH_HUMAN_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb
